Ref_Date,GEO,FOOD,COMMODITY,Vector,Coordinate,Value
1960,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,90.41
1960,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,83.31
1961,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,91.26
1961,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,84.10
1962,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,93.32
1962,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,86.00
1963,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,95.91
1963,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,88.38
1964,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,97.44
1964,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,89.79
1965,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,97.20
1965,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,89.57
1966,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,99.75
1966,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,91.92
1967,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,100.67
1967,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,92.77
1968,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,99.35
1968,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,91.55
1969,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,102.66
1969,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,94.60
1970,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,106.23
1970,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,97.89
1971,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,109.00
1971,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,100.44
1972,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,112.24
1972,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,103.43
1973,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,115.53
1973,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,106.46
1974,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,115.31
1974,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,106.25
1975,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,115.57
1975,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,106.50
1976,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,111.87
1976,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,103.08
1977,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,112.21
1977,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,103.40
1978,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,108.49
1978,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,99.97
1979,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,111.08
1979,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,102.36
1980,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,105.95
1980,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,97.64
1981,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,108.19
1981,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,99.69
1982,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,104.96
1982,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,96.72
1983,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,104.71
1983,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,96.49
1984,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,103.22
1984,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,95.11
1985,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,101.62
1985,Canada,Food available adjusted for losses,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438978,1.2.382,93.65
1986,Canada,Food available,"Ale, beer, stout and porter, population 15 years old and over (litres per person, per year)",v46438975,1.1.382,100.60
